emp_no,first_name,last_name,title,from_date,to_date
10387,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01
10387,Parto,Wrigley,Staff,1994-01-07,1999-01-07
10395,Takahiro,Deverell,Engineer,1998-08-10,2001-08-13
10413,Danel,Impagliazzo,Senior Staff,1997-12-26,9999-01-01
10413,Danel,Impagliazzo,Staff,1991-12-27,1997-12-26
10418,Candida,Porotnikoff,Staff,1996-10-04,9999-01-01
10429,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01
10443,Shichao,Litvinov,Senior Engineer,1989-08-01,2002-07-06
10451,Bodh,Ranta,Assistant Engineer,1988-03-12,1993-03-12
10451,Bodh,Ranta,Engineer,1993-03-12,1998-03-12
10451,Bodh,Ranta,Senior Engineer,1998-03-12,9999-01-01
10477,Guoxiang,Trogemann,Engineer,1997-05-26,2002-05-26
10477,Guoxiang,Trogemann,Senior Engineer,2002-05-26,9999-01-01
10486,Amstein,Kossowski,Engineer,1987-10-08,1996-10-07
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,9999-01-01
10503,Dannz,Pell,Engineer,1997-03-13,9999-01-01
10529,Ymte,Yetto,Assistant Engineer,1997-07-04,9999-01-01
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01
10548,Ramalingam,Gunderson,Staff,1986-07-04,1993-07-04
10591,Hidde,Hettesheimer,Staff,1987-06-18,1988-09-20
10593,Falguni,Kenevan,Engineer,1990-09-12,1999-09-12
10593,Falguni,Kenevan,Senior Engineer,1999-09-12,9999-01-01
10683,Guiseppe,Stranks,Senior Engineer,1997-06-23,9999-01-01
10696,Unal,Fendler,Technique Leader,1991-09-09,9999-01-01
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01
10712,Uma,Koprowski,Engineer,1994-08-18,2001-08-18
10712,Uma,Koprowski,Senior Engineer,2001-08-18,9999-01-01
10731,Fumitaka,Peak,Senior Staff,1994-02-20,2000-10-09
10731,Fumitaka,Peak,Staff,1987-02-20,1994-02-20
10751,Jordanka,Ushiama,Engineer,1999-12-14,2000-12-05
10782,Kish,Perna,Staff,1997-07-06,2002-03-30
10803,Katsuyuki,Velasco,Engineer,1988-04-20,1997-04-20
10803,Katsuyuki,Velasco,Senior Engineer,1997-04-20,2002-04-02
10814,Nidapan,Dymetman,Senior Staff,1998-07-17,9999-01-01
10814,Nidapan,Dymetman,Staff,1993-07-17,1998-07-17
10826,Arnd,Anandan,Senior Engineer,1993-01-22,9999-01-01
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01
10846,Tokuyasu,Serre,Senior Engineer,1995-01-17,9999-01-01
10847,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01
10847,Theirry,Danley,Staff,1986-07-25,1992-07-24
10858,Kenroku,Gonthier,Engineer,1997-01-01,2002-01-01
10858,Kenroku,Gonthier,Senior Engineer,2002-01-01,9999-01-01
10867,Billur,Gyorkos,Engineer,1997-03-23,2002-03-22
10871,Aram,Gilg,Staff,1999-06-16,9999-01-01
10872,Karoline,Speel,Senior Staff,1996-09-05,9999-01-01
10872,Karoline,Speel,Staff,1990-09-06,1996-09-05
10873,Sukumar,Wegerle,Staff,1994-03-23,9999-01-01
10878,Lakshmi,Deville,Staff,1997-04-25,9999-01-01
10883,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01
10895,Vishwani,Petersohn,Staff,1986-04-26,1987-04-13
10906,Munehiro,Carrere,Staff,1998-10-18,9999-01-01
10912,Oscal,Fasbender,Senior Staff,1991-04-23,1999-09-26
10912,Oscal,Fasbender,Staff,1986-04-23,1991-04-23
10913,Narain,Thummel,Staff,1998-10-25,9999-01-01
10942,Toshimitsu,Larfeldt,Engineer,1996-01-21,9999-01-01
10944,Remko,Zyda,Senior Engineer,1995-09-07,9999-01-01
10948,Shigehito,Brodie,Senior Engineer,1996-09-30,1997-06-23
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01
10985,Chiradeep,Furedi,Engineer,1999-02-11,1999-03-10
10987,Flemming,Baezner,Engineer,1997-05-21,9999-01-01
11002,Bluma,Ulupinar,Senior Staff,1998-11-21,2001-12-07
11028,Miyeon,Krider,Engineer,1986-06-18,1991-06-18
11028,Miyeon,Krider,Senior Engineer,1991-06-18,1997-09-04
11037,Lansing,Maliniak,Engineer,1988-01-28,1995-01-28
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,9999-01-01
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01
11050,Elvis,Katiyar,Senior Staff,1991-05-06,9999-01-01
11050,Elvis,Katiyar,Staff,1986-05-06,1991-05-06
11051,Przemyslawa,Erol,Engineer,1991-03-27,2000-03-26
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01
11064,Shawna,Vieri,Assistant Engineer,1990-02-28,1996-02-28
11064,Shawna,Vieri,Engineer,1996-02-28,2002-02-27
11064,Shawna,Vieri,Senior Engineer,2002-02-27,9999-01-01
11070,Adib,Raney,Engineer,1985-07-24,1991-07-24
11070,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01
11079,Piyush,Garigliano,Engineer,1994-05-26,2001-05-26
11079,Piyush,Garigliano,Senior Engineer,2001-05-26,9999-01-01
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01
11081,Barry,Boyle,Staff,1985-06-17,1994-06-17
11091,Souichi,Ramsay,Engineer,1999-09-11,9999-01-01
11132,Kristin,Harnett,Engineer,1994-08-30,1999-08-30
11132,Kristin,Harnett,Senior Engineer,1999-08-30,9999-01-01
11158,Masaki,Hagimont,Engineer,1996-04-20,2002-04-20
11158,Masaki,Hagimont,Senior Engineer,2002-04-20,9999-01-01
11170,Minghong,Cannard,Senior Engineer,1990-06-20,9999-01-01
11174,Akhilish,Milicia,Engineer,1999-06-07,9999-01-01
11180,Mitsuyuki,Bojadziev,Engineer,1986-06-11,1992-06-10
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,9999-01-01
11181,Hausi,Cullers,Engineer,1997-11-03,9999-01-01
11192,Apostol,Bahr,Engineer,1998-04-07,9999-01-01
11201,Jouko,Masaki,Staff,1995-10-31,9999-01-01
11203,Sakthirel,Yetto,Senior Staff,1996-01-06,1996-06-15
11203,Sakthirel,Yetto,Staff,1988-01-06,1996-01-06
11208,Saniya,Valtorta,Technique Leader,1994-11-17,9999-01-01
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01
11233,Sanjit,Waschkowski,Engineer,1991-12-14,1998-12-14
11233,Sanjit,Waschkowski,Senior Engineer,1998-12-14,9999-01-01
11253,Koldo,Pokrovskii,Engineer,1992-05-22,2000-05-22
11253,Koldo,Pokrovskii,Senior Engineer,2000-05-22,9999-01-01
11300,Lillian,Fontet,Engineer,1992-09-10,1996-12-20
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,1992-07-07
11322,Nathalie,Pocchiola,Engineer,1992-07-07,1999-07-08
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01
11325,Samphel,Rossi,Engineer,1999-01-10,9999-01-01
11326,Munenori,Plesums,Engineer,1990-02-19,1999-02-19
11326,Munenori,Plesums,Senior Engineer,1999-02-19,9999-01-01
11340,Aris,Bala,Engineer,1991-09-11,1998-09-11
11340,Aris,Bala,Senior Engineer,1998-09-11,9999-01-01
11376,Valery,Suomi,Senior Staff,1994-03-14,9999-01-01
11376,Valery,Suomi,Staff,1986-03-14,1994-03-14
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,1996-04-18
11380,Kenroku,Pelc,Engineer,1996-04-18,2001-04-18
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,9999-01-01
11385,Shiv,Ullian,Engineer,1999-08-08,9999-01-01
11401,Huan,Merey,Staff,1995-04-15,9999-01-01
11414,Eishiro,Pearson,Senior Staff,1996-01-03,1997-10-06
11414,Eishiro,Pearson,Staff,1989-01-02,1996-01-03
11469,Guttorm,Giaccio,Engineer,1994-09-08,1999-09-08
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,9999-01-01
11501,Karsten,Ranum,Senior Staff,1999-10-24,2002-03-20
11501,Karsten,Ranum,Staff,1991-10-24,1999-10-24
11521,Eldridge,Eastman,Staff,1995-10-17,2000-06-08
11527,Alagu,Boyle,Staff,1999-01-28,9999-01-01
11531,Radhika,Motley,Technique Leader,1992-11-04,9999-01-01
11573,Pranas,Hutton,Engineer,1990-02-04,1995-02-04
11573,Pranas,Hutton,Senior Engineer,1995-02-04,9999-01-01
11588,Kaijung,Panangaden,Senior Staff,1994-12-24,1995-06-12
11596,Yannik,Gunderson,Staff,1995-11-23,9999-01-01
11606,Perry,Pepe,Senior Staff,1999-09-27,9999-01-01
11606,Perry,Pepe,Staff,1994-09-27,1999-09-27
11628,Fan,Malinowski,Engineer,1988-10-23,1997-10-23
11628,Fan,Malinowski,Senior Engineer,1997-10-23,9999-01-01
11644,Sanjit,Zaiane,Assistant Engineer,1995-08-09,9999-01-01
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01
11681,Fumitake,Benzmuller,Engineer,1988-08-27,1995-08-28
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,9999-01-01
11686,Nadjib,Srimani,Senior Staff,2000-04-20,2000-07-22
11686,Nadjib,Srimani,Staff,1995-04-21,2000-04-20
11693,Hideo,Coorg,Senior Engineer,1991-08-24,9999-01-01
11713,Danel,Heusch,Engineer,1994-10-04,2000-10-03
11713,Danel,Heusch,Senior Engineer,2000-10-03,9999-01-01
11737,Martina,Garnier,Assistant Engineer,1995-07-11,9999-01-01
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,9999-01-01
11746,Koichi,Marrakchi,Staff,1988-11-17,1995-11-18
11779,Shunichi,Thombley,Staff,1996-11-21,9999-01-01
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,9999-01-01
11813,Gita,Muhlberg,Staff,1987-03-16,1991-07-20
11829,Chaosheng,Pettis,Assistant Engineer,1999-10-11,9999-01-01
11832,Arto,Zlotek,Engineer,1996-02-04,9999-01-01
11836,Ortrud,Bakhtari,Senior Staff,1989-07-28,9999-01-01
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,9999-01-01
11853,Zeljko,Kusakabe,Staff,1988-11-17,1996-11-17
11864,Pradeep,Kriebel,Staff,1995-11-02,9999-01-01
11881,Arra,Staelin,Senior Staff,1995-04-08,9999-01-01
11881,Arra,Staelin,Staff,1990-04-08,1995-04-08
11883,Nectarios,Bhattacharjee,Engineer,1988-04-16,1990-10-28
11888,Badri,Azulay,Senior Staff,1999-11-28,9999-01-01
11888,Badri,Azulay,Staff,1994-11-28,1999-11-28
11897,Cordelia,Setlzner,Senior Staff,1997-06-16,9999-01-01
11897,Cordelia,Setlzner,Staff,1988-06-16,1997-06-16
11911,Ashish,Mondadori,Engineer,1990-06-05,1995-06-05
11911,Ashish,Mondadori,Senior Engineer,1995-06-05,9999-01-01
11931,Gunilla,Chiodo,Senior Staff,2000-01-13,9999-01-01
11931,Gunilla,Chiodo,Staff,1991-01-13,2000-01-13
11944,Along,Aumann,Senior Engineer,1994-12-01,9999-01-01
11945,Limsoon,Marakhovsky,Staff,1994-01-21,9999-01-01
11948,Yahiko,Nergos,Engineer,1995-05-10,2002-05-10
11948,Yahiko,Nergos,Senior Engineer,2002-05-10,9999-01-01
12007,Marko,Dehkordi,Engineer,1989-05-17,1996-05-17
12007,Marko,Dehkordi,Senior Engineer,1996-05-17,9999-01-01
12024,Mayumi,Lanzelotte,Staff,1997-11-03,9999-01-01
12028,Ingemar,Walstra,Engineer,1992-09-02,1997-09-02
12028,Ingemar,Walstra,Senior Engineer,1997-09-02,9999-01-01
12043,Masaki,Lubachevsky,Staff,2000-01-05,9999-01-01
12055,Rutger,Kilgore,Staff,1990-06-22,1995-06-16
12093,Evgueni,Oxenboll,Engineer,1994-01-19,1999-01-19
12093,Evgueni,Oxenboll,Senior Engineer,1999-01-19,9999-01-01
12102,Aron,Erde,Staff,1994-02-17,9999-01-01
12140,Xudong,Paciorek,Senior Staff,1996-11-15,9999-01-01
12148,Hidde,Garigliano,Assistant Engineer,1997-06-24,1997-11-21
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,9999-01-01
12186,Guther,Nooteboom,Senior Staff,1998-01-24,9999-01-01
12186,Guther,Nooteboom,Staff,1993-01-24,1998-01-24
12190,Abdulah,Engberts,Senior Engineer,1997-12-13,9999-01-01
12213,Kwangho,Brizzi,Senior Staff,2000-10-31,9999-01-01
12213,Kwangho,Brizzi,Staff,1994-11-01,2000-10-31
12219,Junsik,Gadepally,Senior Staff,1995-06-13,9999-01-01
12230,Yuriy,Bellone,Engineer,1997-04-13,9999-01-01
12247,Subbu,Penttonen,Technique Leader,1985-04-09,9999-01-01
12249,Eldridge,Sadowski,Engineer,1987-06-21,1996-06-20
12249,Eldridge,Sadowski,Senior Engineer,1996-06-20,9999-01-01
12269,Mohammed,Whitcomb,Engineer,1994-07-06,2000-07-05
12269,Mohammed,Whitcomb,Senior Engineer,2000-07-05,9999-01-01
12282,Tadahiro,Delgrange,Engineer,1999-10-06,9999-01-01
12303,Godehard,Braccini,Senior Staff,1988-06-13,1988-07-19
12308,Mototsugu,Cronau,Senior Staff,1991-08-11,9999-01-01
12308,Mototsugu,Cronau,Staff,1985-08-11,1991-08-11
12317,Weiyi,Crabtree,Staff,1996-08-11,9999-01-01
12327,DAIDA,Bruckman,Engineer,1986-10-16,1992-10-15
12327,DAIDA,Bruckman,Senior Engineer,1992-10-15,9999-01-01
12328,Atilio,Prampolini,Staff,1997-05-03,9999-01-01
12335,Arnould,Genin,Senior Staff,1995-12-01,2000-06-19
12338,Kagan,Besselaar,Staff,1997-01-10,9999-01-01
12343,Sorina,Slaats,Senior Staff,1997-08-25,9999-01-01
12343,Sorina,Slaats,Staff,1988-08-25,1997-08-25
12351,Gennady,Zizka,Engineer,1997-08-26,1999-02-16
12366,Patricio,Setlzner,Staff,1994-07-16,2000-01-20
12394,Stevo,Reeken,Engineer,1998-09-26,9999-01-01
12407,Jianwen,Brodie,Engineer,1993-12-03,1999-09-13
12411,Shao,Ibel,Senior Staff,1991-08-17,9999-01-01
12411,Shao,Ibel,Staff,1986-08-17,1991-08-17
12415,Uri,Sluis,Staff,1994-10-17,1998-10-10
12426,Shahaf,Valtorta,Technique Leader,1999-05-17,9999-01-01
12450,Sanjeeva,Perng,Engineer,1992-02-02,1999-02-02
12450,Sanjeeva,Perng,Senior Engineer,1999-02-02,9999-01-01
12468,Ioana,Baezner,Staff,1993-12-08,9999-01-01
12502,Danil,VanScheik,Senior Engineer,1989-06-06,9999-01-01
12505,Barton,Goldhammer,Senior Staff,1999-08-24,2002-02-18
12514,Tomofumi,Melter,Engineer,1999-11-13,9999-01-01
12515,Pranav,Wilharm,Engineer,1994-01-27,2000-01-27
12515,Pranav,Wilharm,Senior Engineer,2000-01-27,9999-01-01
12528,Conor,Cincotta,Senior Staff,1997-09-24,9999-01-01
12528,Conor,Cincotta,Staff,1988-09-24,1997-09-24
12541,Shih,Nanard,Senior Staff,1996-08-31,9999-01-01
12541,Shih,Nanard,Staff,1988-08-31,1996-08-31
12571,Abdelaziz,Candan,Assistant Engineer,1997-04-23,2002-04-23
12571,Abdelaziz,Candan,Engineer,2002-04-23,9999-01-01
12586,Oguz,Tasistro,Engineer,1994-04-30,2001-04-30
12586,Oguz,Tasistro,Senior Engineer,2001-04-30,9999-01-01
12589,Anoosh,Chleq,Engineer,1988-09-08,1997-09-08
12589,Anoosh,Chleq,Senior Engineer,1997-09-08,9999-01-01
12597,Kazuhito,Petereit,Senior Staff,1999-12-13,9999-01-01
12635,Xinyu,Restivo,Engineer,1995-02-03,2000-02-03
12635,Xinyu,Restivo,Senior Engineer,2000-02-03,9999-01-01
12639,Zeljko,Schapire,Engineer,1994-05-21,2002-05-21
12639,Zeljko,Schapire,Senior Engineer,2002-05-21,9999-01-01
12644,Bernt,Jayawardene,Engineer,1989-10-29,1994-10-29
12644,Bernt,Jayawardene,Senior Engineer,1994-10-29,9999-01-01
12651,Pragnesh,Bael,Senior Staff,1988-01-27,9999-01-01
12662,Leucio,Alvarado,Assistant Engineer,1985-08-27,1994-08-27
12662,Leucio,Alvarado,Engineer,1994-08-27,9999-01-01
12664,Zhonghua,Parveen,Staff,1999-08-04,9999-01-01
12670,Seongbae,Alameldin,Engineer,1999-09-10,9999-01-01
12678,Carrsten,Borovoy,Engineer,1999-06-26,2000-04-22
12691,Oddvar,Gils,Engineer,1992-08-25,1998-08-25
12691,Oddvar,Gils,Senior Engineer,1998-08-25,9999-01-01
12732,Mara,Takanami,Senior Staff,1988-04-06,9999-01-01
12734,Gil,Frijda,Senior Engineer,1986-03-03,9999-01-01
12753,Kazuhito,Syrotiuk,Engineer,1991-08-26,1999-08-26
12753,Kazuhito,Syrotiuk,Senior Engineer,1999-08-26,9999-01-01
12773,Jenwei,Lovengreen,Engineer,1985-03-05,1994-03-05
12773,Jenwei,Lovengreen,Senior Engineer,1994-03-05,9999-01-01
12774,Moon,Asrin,Engineer,1997-08-02,9999-01-01
12775,Mariangiola,Berendt,Assistant Engineer,1991-02-24,1999-02-24
12775,Mariangiola,Berendt,Engineer,1999-02-24,2002-04-05
12795,Masoud,Fordan,Senior Staff,1997-06-23,9999-01-01
12795,Masoud,Fordan,Staff,1988-06-23,1997-06-23
12798,Lillian,Beeson,Senior Staff,1996-12-26,9999-01-01
12798,Lillian,Beeson,Staff,1987-12-27,1996-12-26
12803,Gad,Boissier,Senior Staff,1990-03-16,9999-01-01
12803,Gad,Boissier,Staff,1985-03-16,1990-03-16
12814,Jaques,Kohling,Technique Leader,1998-06-07,1998-11-24
12816,Freyja,Ramras,Engineer,1985-04-18,1992-04-18
12816,Freyja,Ramras,Senior Engineer,1992-04-18,1999-09-08
12821,Arco,Gihr,Engineer,1997-05-04,9999-01-01
12840,Zhensheng,Ferretti,Engineer,1994-09-10,9999-01-01
12857,Alagu,Gils,Senior Engineer,1995-07-05,9999-01-01
12865,Katsuyuki,Rothe,Senior Staff,1994-02-14,9999-01-01
12868,Berthier,Nanard,Senior Engineer,1990-01-07,9999-01-01
12869,Jacopo,Swiler,Staff,1999-01-02,9999-01-01
12885,Anwar,Collavizza,Senior Engineer,1990-09-11,9999-01-01
12889,Mayumi,Mukaidono,Engineer,1999-04-28,9999-01-01
12895,Roddy,Serot,Senior Engineer,1993-08-15,9999-01-01
12926,Heekeun,Luby,Senior Staff,1992-12-24,9999-01-01
12926,Heekeun,Luby,Staff,1985-12-24,1992-12-24
12962,Paraskevi,Beerel,Senior Staff,2001-10-21,9999-01-01
12962,Paraskevi,Beerel,Staff,1993-10-21,2001-10-21
12972,Juyoung,Azevdeo,Staff,1988-04-03,1990-08-07
12982,Sachem,Aamodt,Engineer,1992-01-11,2000-01-11
12982,Sachem,Aamodt,Senior Engineer,2000-01-11,9999-01-01
12986,Khun,Hennebert,Senior Engineer,1990-09-20,9999-01-01
13004,Fan,Beznosov,Engineer,1990-05-18,1996-05-17
13004,Fan,Beznosov,Senior Engineer,1996-05-17,9999-01-01
13012,Florina,Harbusch,Senior Engineer,1987-12-24,2002-05-24
13013,Heekeun,Baak,Engineer,2000-01-22,9999-01-01
13048,Kerhong,Massonet,Senior Engineer,1996-11-14,9999-01-01
13052,Aleksandar,Schlenzig,Engineer,1991-07-27,1996-07-26
13052,Aleksandar,Schlenzig,Senior Engineer,1996-07-26,9999-01-01
13054,Samphel,Masamoto,Engineer,1994-12-21,2001-12-21
13054,Samphel,Masamoto,Senior Engineer,2001-12-21,9999-01-01
13095,Khedija,Cochrane,Staff,1999-05-03,2000-01-06
13103,Srinidhi,Ellozy,Senior Engineer,1988-06-19,9999-01-01
13144,Persi,Nollmann,Senior Staff,1997-06-19,9999-01-01
13144,Persi,Nollmann,Staff,1989-06-19,1997-06-19
13156,Akeel,Millington,Engineer,1992-08-18,2000-08-18
13156,Akeel,Millington,Senior Engineer,2000-08-18,9999-01-01
13200,Weidon,Pauthner,Engineer,1991-08-07,1998-08-07
13200,Weidon,Pauthner,Senior Engineer,1998-08-07,9999-01-01
13216,Stabislas,Weedman,Staff,1999-05-23,9999-01-01
13227,Goncalo,Pell,Staff,1997-02-03,9999-01-01
13246,Adil,Siepmann,Staff,1999-12-31,9999-01-01
13249,Oldrich,Rissland,Staff,1992-06-04,1997-09-24
13261,Martial,Peternell,Staff,1994-07-28,2000-10-12
13288,Muneo,Broomell,Senior Staff,1995-04-14,9999-01-01
13288,Muneo,Broomell,Staff,1987-04-14,1995-04-14
13291,Georg,Stamatiou,Engineer,1986-10-30,1993-10-30
13291,Georg,Stamatiou,Senior Engineer,1993-10-30,9999-01-01
13303,Koldo,Rissanen,Staff,1997-03-01,9999-01-01
13305,Bikash,Herath,Senior Staff,1994-07-17,1995-01-19
13305,Bikash,Herath,Staff,1985-07-17,1994-07-17
13343,Heon,Usery,Senior Staff,1995-07-30,9999-01-01
13343,Heon,Usery,Staff,1988-07-29,1995-07-30
13378,Rafols,Zhiwei,Technique Leader,1998-07-17,9999-01-01
13386,Khosrow,Sgarro,Technique Leader,1986-02-23,9999-01-01
13396,Chuanyi,Aumann,Senior Staff,1994-03-29,9999-01-01
13412,Ranga,Erdmenger,Staff,1996-03-21,9999-01-01
13422,Vishwani,Gerlach,Engineer,1988-01-17,1995-01-17
13422,Vishwani,Gerlach,Senior Engineer,1995-01-17,9999-01-01
13436,Mana,Picaronny,Senior Staff,1994-09-20,1995-12-08
13451,Gretta,Weiland,Senior Staff,1995-08-23,9999-01-01
13451,Gretta,Weiland,Staff,1986-08-23,1995-08-23
13475,Kamakshi,Piancastelli,Senior Staff,2000-05-27,9999-01-01
13475,Kamakshi,Piancastelli,Staff,1993-05-27,2000-05-27
13520,Takahiro,Mahnke,Engineer,1995-11-03,2001-11-02
13520,Takahiro,Mahnke,Senior Engineer,2001-11-02,9999-01-01
13522,Jaewon,Vingron,Senior Staff,2002-06-01,9999-01-01
13522,Jaewon,Vingron,Staff,1997-06-01,2002-06-01
13523,Dines,Karunanithi,Staff,1997-10-24,9999-01-01
13549,Matk,Koprowski,Technique Leader,1997-06-18,9999-01-01
13560,Sibyl,Jeong,Assistant Engineer,1986-07-28,1994-07-28
13560,Sibyl,Jeong,Engineer,1994-07-28,1998-03-12
13596,Georg,Marletta,Engineer,1993-07-24,2002-07-24
13596,Georg,Marletta,Senior Engineer,2002-07-24,9999-01-01
13624,Zhigen,Yurek,Senior Staff,1996-05-11,9999-01-01
13624,Zhigen,Yurek,Staff,1987-05-12,1996-05-11
13630,Uzi,Kilgour,Engineer,1990-05-06,1996-04-03
13662,Tianruo,Zucker,Senior Staff,1995-02-06,9999-01-01
13662,Tianruo,Zucker,Staff,1989-02-06,1995-02-06
13713,Nitsan,Porenta,Senior Staff,2001-06-04,9999-01-01
13713,Nitsan,Porenta,Staff,1996-06-04,2001-06-04
13721,Sugwoo,Delgrossi,Senior Staff,2001-09-20,9999-01-01
13721,Sugwoo,Delgrossi,Staff,1995-09-21,2001-09-20
13727,Vitali,Merey,Staff,1999-10-07,9999-01-01
13766,Tremaine,Heemskerk,Senior Staff,1986-08-18,9999-01-01
13786,Takushi,Berendt,Senior Staff,1995-05-19,9999-01-01
13786,Takushi,Berendt,Staff,1989-05-19,1995-05-19
13787,Xiaobin,Sinicrope,Engineer,1990-10-30,1996-10-29
13787,Xiaobin,Sinicrope,Senior Engineer,1996-10-29,9999-01-01
13799,Chriss,Backhouse,Technique Leader,1993-07-08,9999-01-01
13800,Nikolaus,Gammage,Technique Leader,1998-03-25,9999-01-01
13801,Shih,Mayerwieser,Staff,1999-05-26,1999-06-25
13841,Christophe,Spinelli,Technique Leader,1992-02-01,9999-01-01
13846,Guiseppe,Welham,Senior Staff,1985-03-20,9999-01-01
13853,Mingsen,Roohalamini,Senior Staff,1991-03-25,9999-01-01
13856,Xiping,Conta,Senior Staff,1995-04-26,9999-01-01
13859,Anoosh,Fujisawa,Engineer,1987-08-23,1992-08-22
13859,Anoosh,Fujisawa,Senior Engineer,1992-08-22,9999-01-01
13870,Theirry,Kirkerud,Engineer,1997-02-17,9999-01-01
13888,Xuedong,Reghbati,Assistant Engineer,1995-03-09,2000-03-08
13888,Xuedong,Reghbati,Engineer,2000-03-08,9999-01-01
13894,Ult,Schonegge,Assistant Engineer,1987-11-28,1995-11-28
13894,Ult,Schonegge,Engineer,1995-11-28,9999-01-01
13913,Xinan,Yoshizawa,Technique Leader,1997-12-18,9999-01-01
13916,Vidya,Wynblatt,Senior Staff,1995-06-06,2002-01-12
13916,Vidya,Wynblatt,Staff,1986-06-06,1995-06-06
13919,Brewster,Sinicrope,Engineer,1999-12-04,9999-01-01
13930,Sukumar,Chartres,Senior Staff,1992-11-26,2000-04-20
13930,Sukumar,Chartres,Staff,1985-11-26,1992-11-26
13944,Takahito,Maierhofer,Senior Engineer,1996-09-15,9999-01-01
13972,Seongbin,Walston,Technique Leader,1990-06-28,9999-01-01
13986,Geraldo,Ramsey,Staff,1985-12-03,1989-01-19
13990,Deborah,Schapiro,Assistant Engineer,1988-06-10,1996-06-10
13990,Deborah,Schapiro,Engineer,1996-06-10,9999-01-01
13996,Adib,Pews,Staff,1999-12-23,2000-04-01
