emp_no,first_name,last_name,title
13386,Khosrow,Sgarro,Technique Leader
13396,Chuanyi,Aumann,Senior Staff
13412,Ranga,Erdmenger,Staff
13422,Vishwani,Gerlach,Senior Engineer
13451,Gretta,Weiland,Senior Staff
13475,Kamakshi,Piancastelli,Senior Staff
13520,Takahiro,Mahnke,Senior Engineer
13522,Jaewon,Vingron,Senior Staff
13523,Dines,Karunanithi,Staff
13549,Matk,Koprowski,Technique Leader
13596,Georg,Marletta,Senior Engineer
13624,Zhigen,Yurek,Senior Staff
13662,Tianruo,Zucker,Senior Staff
13713,Nitsan,Porenta,Senior Staff
13721,Sugwoo,Delgrossi,Senior Staff
13727,Vitali,Merey,Staff
13766,Tremaine,Heemskerk,Senior Staff
13786,Takushi,Berendt,Senior Staff
13787,Xiaobin,Sinicrope,Senior Engineer
13799,Chriss,Backhouse,Technique Leader
13800,Nikolaus,Gammage,Technique Leader
13841,Christophe,Spinelli,Technique Leader
13846,Guiseppe,Welham,Senior Staff
13853,Mingsen,Roohalamini,Senior Staff
13856,Xiping,Conta,Senior Staff
13859,Anoosh,Fujisawa,Senior Engineer
13870,Theirry,Kirkerud,Engineer
13888,Xuedong,Reghbati,Engineer
13894,Ult,Schonegge,Engineer
13913,Xinan,Yoshizawa,Technique Leader
13919,Brewster,Sinicrope,Engineer
13944,Takahito,Maierhofer,Senior Engineer
13972,Seongbin,Walston,Technique Leader
13990,Deborah,Schapiro,Engineer
13999,Florian,Crouzet,Senior Staff
14011,Katsuo,Peris,Engineer
14012,Yishai,Hanratty,Senior Engineer
14015,Manibrata,Picaronny,Senior Engineer
14034,Aloys,Seghrouchni,Senior Staff
14051,Constantijn,Sullins,Senior Engineer
14058,Huai,Kobara,Senior Engineer
14066,Gennadi,Marrakchi,Staff
14093,Atreye,Ritzmann,Technique Leader
14130,Yuuichi,Stroustrup,Staff
14172,Vasilis,Nitsch,Senior Staff
14191,Jiann,Luby,Senior Engineer
14200,Masali,Sankaranarayanan,Senior Staff
14220,Tomofumi,Pargas,Senior Engineer
14236,Xuedong,Angiulli,Senior Staff
14252,Weiyi,Fargier,Staff
14257,Kwok,Massonet,Staff
14281,Hidekazu,Stavenow,Senior Engineer
14322,Shem,Kakkad,Engineer
14323,Golgen,Leslie,Staff
14331,Susumu,Plessier,Senior Engineer
14342,Hairong,Iacovou,Senior Engineer
14364,Remzi,Lund,Senior Staff
14370,Heon,Perl,Senior Staff
14372,Saniya,Srimani,Engineer
14388,Arch,Remmers,Senior Staff
14411,Hiroyasu,Validov,Technique Leader
14478,Munehiro,Boissier,Senior Staff
14481,Moti,Lammel,Senior Engineer
14486,Indrajit,Birdsall,Senior Engineer
14501,Taizo,Kroft,Technique Leader
14515,Kazuhisa,Versino,Senior Engineer
14524,Nobuyoshi,Trogemann,Staff
14560,Elrique,Driscoll,Senior Engineer
14600,Jayson,Cairo,Senior Staff
14611,Marsja,Coors,Staff
14640,Toshimori,Kornatzky,Senior Engineer
14659,Sashi,Adachi,Senior Engineer
14668,Weicheng,Covnot,Senior Engineer
14676,Bikash,Zedlitz,Senior Staff
14692,Annemarie,Lamba,Senior Engineer
14693,Brewster,Stranks,Senior Staff
14746,Uri,Baalen,Senior Engineer
14752,Mariusz,Azuma,Senior Engineer
14761,Yunming,Rettelbach,Senior Staff
14763,Ayakannu,Hedayat,Senior Engineer
14780,Marlo,Bruckman,Senior Engineer
14791,Magy,Garrabrants,Assistant Engineer
14818,Wayne,Falco,Senior Engineer
14837,Perry,Cappello,Senior Staff
14839,Changho,Cronin,Senior Engineer
14853,Taiji,Nergos,Senior Engineer
14885,Mansur,Thisen,Technique Leader
14888,Temple,Barriga,Senior Staff
14908,Kerhong,Flanders,Senior Engineer
14911,Xiaobin,Chelton,Senior Engineer
14915,Huican,Picco,Engineer
14925,Stabislas,Peternell,Engineer
14941,Nathan,Lichtner,Senior Engineer
14949,Insup,Reinhart,Senior Engineer
14973,Fumitaka,Schaad,Staff
15004,Muneo,Esteva,Engineer
15025,Vincent,Lagarias,Senior Staff
15043,Christoph,Ventosa,Senior Staff
15069,Manton,Siksek,Technique Leader
15075,Radoslaw,Rijsenbrij,Senior Engineer
15089,Giri,Coney,Senior Engineer
15094,Seongbae,Bottner,Staff
15102,Luigi,Axelband,Senior Engineer
15134,Arun,Luiz,Senior Staff
15136,Eckart,Waeselynck,Staff
15216,Zhenhua,Wiegley,Senior Staff
15248,Edwin,Baar,Senior Staff
15263,Sanjeeva,Loncour,Senior Staff
15365,Mikhail,Schiettecatte,Senior Engineer
15369,Premal,Penttonen,Staff
15374,Jiang,Hiroyama,Senior Staff
15382,Alassane,Siegrist,Senior Staff
15395,Monique,Jakobus,Senior Staff
15406,Sariel,Sooriamurthi,Senior Engineer
15422,Vesna,Wolniewicz,Senior Engineer
15470,Weiwu,Huhdanpaa,Engineer
15489,Ayonca,Maksimenko,Staff
15525,Masadi,Cherinka,Senior Engineer
15563,Constantino,Zykh,Senior Staff
15582,Tuval,Alpay,Engineer
15603,Woody,Hooghiemstra,Senior Engineer
15637,Vincent,Barinka,Senior Staff
15638,Basil,Perez,Senior Staff
15650,Pascal,Bail,Senior Engineer
15656,Mohammad,Schaaf,Senior Staff
15662,Shooichi,Danner,Staff
15664,Bangqing,Ertl,Assistant Engineer
15668,Zito,Juneja,Senior Engineer
15714,Troy,Bala,Engineer
15717,Yuchang,Rabehasaina,Senior Staff
15733,Amalendu,Lipner,Senior Staff
15744,Udaiprakash,Solovay,Senior Engineer
15750,Arumugam,Bresenham,Senior Engineer
15763,Barun,Narahari,Senior Staff
15778,Arra,Haumacher,Senior Staff
15788,Taegyun,Deyuan,Senior Engineer
15799,Manton,Gelosh,Senior Staff
15812,Luise,Braunmuhl,Senior Staff
15847,Shawna,Gniady,Staff
15855,Xiaoqiu,Brookman,Senior Staff
15861,Gio,Anido,Senior Staff
15866,Angel,Seiwald,Senior Engineer
15876,Munehiro,Vakili,Senior Engineer
15905,DeForest,Petersohn,Senior Engineer
15911,Shaibal,Viele,Senior Engineer
15918,Kotesh,Plesums,Senior Staff
15938,Garnik,Covnot,Senior Staff
15941,Dekang,Nourani,Senior Engineer
15945,Hauke,Larfeldt,Senior Engineer
15993,Yoshimitsu,Peir,Senior Engineer
16000,Marek,Demos,Senior Engineer
16005,Udo,Sundgren,Senior Staff
16025,Doowon,Luce,Senior Engineer
16028,JiYoung,Takkinen,Senior Engineer
16052,Maria,Rodham,Senior Engineer
16066,Marsha,Penn,Senior Staff
16068,Leandro,Zongker,Senior Staff
16077,Kannan,Heemskerk,Senior Engineer
16093,Luise,Tramer,Engineer
16109,Mooi,Serna,Senior Engineer
16134,Annemarie,Chaudhuri,Senior Engineer
16138,Leucio,Krzyzanowski,Senior Staff
16149,Ennio,Luit,Senior Staff
16165,Shuzo,Cronau,Assistant Engineer
16175,Amabile,Baik,Staff
16201,Krassimir,Olano,Technique Leader
16215,Duri,Eiron,Senior Staff
16224,Honesty,Slobodova,Staff
16238,Takahiro,Kopetz,Staff
16257,Zhenhua,Masaki,Senior Staff
16266,Mikhail,Sethi,Senior Staff
16329,Yucel,Melter,Senior Engineer
16377,Duri,Stanger,Engineer
16383,Lidong,Czap,Senior Engineer
16384,Dmitry,Heuser,Senior Engineer
16388,Subhankar,Georgatos,Senior Staff
16447,Zhiguo,Savasere,Senior Engineer
16484,Remko,Redmiles,Senior Staff
16491,Emdad,Radwan,Senior Staff
16499,Aran,Legleitner,Engineer
16526,Saeko,Coorg,Engineer
16537,Weidon,Seiwald,Senior Engineer
16551,Sadegh,Ranon,Senior Engineer
16580,Masaru,Valiente,Senior Engineer
16636,Ulf,Luan,Engineer
16644,Saniya,Yoshimura,Senior Engineer
16658,Florian,Soicher,Senior Staff
16678,Gill,Lenart,Senior Engineer
16692,Maria,Perelgut,Engineer
16695,Chaosheng,Thiran,Staff
16698,Udaiprakash,Decleir,Engineer
16716,Ramachenga,Zumaque,Engineer
16759,Vojin,Masaki,Senior Engineer
16766,Vatsa,Brendel,Senior Engineer
16772,Baruch,Giveon,Senior Staff
16776,Gil,Azevdeo,Senior Staff
16806,Sreekrishna,Dayana,Senior Staff
16859,Chikara,Heping,Senior Staff
16896,Taisook,Bazzichi,Senior Engineer
16921,Evgueni,Yeung,Senior Staff
16933,Lokesh,Pardalos,Staff
16934,Collette,Sanella,Engineer
16979,Xiaoqiu,Preusig,Engineer
16986,Hirochika,Gecseg,Senior Engineer
16988,Xiong,Peron,Senior Staff
16999,Bezalel,Sadowsky,Senior Staff
17041,Nishit,Montemayor,Senior Staff
17063,Anoosh,Thiran,Senior Staff
17081,Weiru,Murtafg,Senior Engineer
17085,Ramzi,Litvinov,Senior Engineer
17120,Yifei,Polupanov,Senior Staff
17126,Matk,Schapire,Senior Staff
17141,Ingmar,Kadhim,Senior Engineer
17159,Quingbo,Mitchem,Senior Engineer
17160,Shay,Montemayor,Senior Engineer
17172,Conrado,Riexinger,Senior Engineer
17179,Kellyn,Angel,Engineer
17214,Danel,Angelov,Technique Leader
17243,Ishfaq,Demke,Staff
17245,Neven,Milicia,Staff
17276,Sorina,Range,Staff
17285,Mario,Weiland,Senior Staff
17316,Krassimir,Zolotykh,Engineer
17327,Yongmin,Gihr,Senior Staff
17329,Shaunak,Tyugu,Senior Engineer
17391,Selwyn,Pews,Senior Engineer
17412,Leni,Vilarrasa,Staff
17423,Adly,Demir,Technique Leader
17440,Hugh,Rosch,Senior Staff
17457,Chaoyi,Skrikant,Senior Engineer
17463,Tremaine,Lamparter,Senior Staff
17472,Murthy,Verhoeff,Senior Staff
17482,Basant,Bottner,Staff
17497,Adin,Bahi,Senior Engineer
17520,Shahab,Keohane,Senior Engineer
17544,Kien,Marletta,Senior Engineer
17555,Pranay,Sessa,Senior Engineer
17562,Kristof,Iacovou,Senior Engineer
17576,Behnaam,Krybus,Senior Engineer
17593,Shigehito,Cherinka,Senior Engineer
17629,Mostafa,Winter,Senior Staff
17647,Vasilis,Swab,Senior Staff
17674,Adib,Braccini,Senior Engineer
17696,Feiyu,Kusalik,Senior Engineer
17705,Toshimo,Mellouli,Technique Leader
17751,Mrinalini,Saoudi,Senior Engineer
17791,Matt,Stifter,Senior Staff
17807,Jianhua,Glowinski,Senior Engineer
17816,Toshimo,Kenevan,Senior Engineer
17829,Przemyslawa,Whittlesey,Staff
17841,Hilary,Ramaiah,Senior Engineer
17900,Sakthirel,Belinskaya,Senior Engineer
17956,Ebru,Zobel,Senior Engineer
17964,Yongqiao,Pintelas,Technique Leader
17995,Oldrich,Vickson,Senior Staff
18018,Sasan,Schrooten,Senior Staff
18020,Adhemar,Pelz,Senior Staff
18022,Maha,Esposito,Senior Engineer
18040,Franziska,Nitsche,Senior Staff
18106,Gudjon,Axelband,Senior Engineer
18108,Sanjai,Genin,Staff
18113,Kish,Hainaut,Senior Engineer
18115,Georg,Krzyzanowski,Senior Engineer
18124,Prodip,Kropf,Senior Engineer
18186,Aria,Schaap,Senior Staff
18191,Kazuhira,Christianini,Staff
18217,Candida,Sethi,Senior Engineer
18239,Giordano,Conde,Senior Staff
18283,Felicidad,Steinauer,Senior Staff
18290,Sigeru,Puppe,Senior Engineer
18318,Parke,Cairo,Senior Staff
18333,Munehiro,Plesums,Engineer
18339,Anneli,Barvinok,Assistant Engineer
18376,Wayne,Stranks,Engineer
18390,Jingling,Merel,Engineer
18402,Bernice,Ritzmann,Senior Staff
18418,Cheong,Vickson,Engineer
18443,Florina,Swick,Senior Staff
18503,Mechthild,Marletta,Senior Engineer
18535,Pasqua,Gelosh,Senior Engineer
18536,Hailing,Crelier,Senior Engineer
18537,Juichirou,Kulisch,Senior Staff
18579,Make,Thorelli,Senior Staff
18621,Spyrose,Koblick,Senior Engineer
18627,Prodip,Brizzi,Senior Engineer
18628,Srinidhi,Mahmud,Senior Staff
18656,Arvind,Iivonen,Senior Engineer
18666,Hitofumi,Baja,Senior Staff
18691,Vasilis,Besancenot,Senior Engineer
18692,Mona,Camurati,Senior Engineer
18715,Sugwoo,Dechter,Senior Engineer
18728,Tzvetan,Luft,Senior Engineer
18744,Feipei,Bugrara,Senior Staff
18802,Kwee,Rajaraman,Engineer
18809,Laurentiu,Munoz,Senior Staff
18811,Cheong,Oxenboll,Senior Staff
18812,Uriel,Lueh,Senior Staff
18850,Shigeo,Erbe,Senior Engineer
18881,Heejo,Botman,Staff
18886,Ramya,Peek,Senior Staff
18890,Pasqua,Litecky,Senior Staff
18905,Seongbae,Baca,Senior Engineer
18910,Pantung,Peral,Engineer
18921,Maren,Radwan,Senior Engineer
18943,Anneli,Rando,Senior Staff
18983,Krister,Jenevein,Senior Engineer
19035,Fuqing,Bellone,Senior Engineer
19037,Lucien,Bernardeschi,Senior Engineer
19042,Rosita,Levergood,Senior Engineer
19048,Nikolaus,Radhakrishnan,Senior Staff
19049,Breannda,Picht,Senior Staff
19051,Marek,Cappello,Technique Leader
19073,Sajjan,Trelles,Staff
19091,Xiaocheng,Sommen,Senior Engineer
19114,Jayson,Pietracaprina,Senior Staff
19132,Nikolaus,Litvinov,Staff
19134,Seongbin,Bakhtari,Senior Staff
19145,Zorica,Marrevee,Technique Leader
19153,Subbu,Zedlitz,Senior Staff
19174,Zorica,Schaap,Engineer
19192,Yinlin,Schusler,Senior Engineer
19225,Roselyn,Openshaw,Senior Staff
19332,Changho,Khamsi,Senior Engineer
19345,Tsuneo,Kobara,Senior Staff
19353,Mayumi,Schaar,Senior Engineer
19359,Fumiya,Jervis,Engineer
19467,Mitchel,Ecklund,Senior Staff
19470,Patricio,Luiz,Senior Engineer
19483,Remmert,Dulay,Senior Staff
19515,Keiichiro,Gurbaxani,Senior Engineer
19518,Genta,Vieri,Staff
19546,Kwan,Penz,Engineer
19586,Hirochika,Minakawa,Senior Engineer
19617,Mircea,Landherr,Engineer
19633,Tayeb,Nourani,Senior Engineer
19665,Khalid,Zielinski,Technique Leader
19668,Goa,Kolinko,Staff
19675,Isamu,Herath,Senior Staff
19680,Vojin,Horswill,Technique Leader
19701,Satosi,Raczkowsky,Engineer
19702,Akemi,Pettey,Senior Staff
19708,Ortrud,Biros,Staff
19719,Brendon,Shokrollahi,Senior Staff
19731,Moriyoshi,Hempstead,Senior Engineer
19741,Alexius,Bauknecht,Senior Engineer
19755,Stabislas,Angelopoulos,Engineer
19771,Aral,Katalagarianos,Staff
19796,Marjo,Peral,Engineer
19801,Xiaopeng,Solovay,Senior Staff
19841,Adil,Straney,Staff
19843,Mohamadou,Peir,Staff
19875,Van,Zongker,Engineer
19909,Ronnie,Linares,Senior Staff
19911,Siamak,Fabrizio,Senior Staff
19927,Siamak,Terlouw,Staff
19950,Jaroslava,Kusakari,Senior Engineer
19975,Mabry,Geffroy,Senior Engineer
19979,Nahum,Schwartzbauer,Senior Staff
19982,Khatoun,Baba,Senior Engineer
19989,Ung,Androutsos,Technique Leader
19991,Ziva,Desikan,Senior Engineer
20013,Jaewoo,Lanphier,Senior Engineer
20022,Felicidad,Bellone,Engineer
20039,Udo,Harbusch,Senior Staff
20041,Chikara,Lienhardt,Senior Staff
20043,Chikara,Adachi,Senior Engineer
20059,Pranay,Panwar,Technique Leader
20071,Jaideep,Puoti,Engineer
20107,Jinya,Tyugu,Senior Engineer
20126,Tayeb,Langford,Staff
20135,Ipke,Akazan,Engineer
20139,Steen,Riefers,Engineer
20140,Georgy,Pews,Engineer
20171,Kazuhira,Murtha,Senior Engineer
20201,Navin,Miyakawa,Engineer
20223,Kwun,Gelosh,Senior Staff
20322,Shmuel,Porotnikoff,Senior Staff
20325,Katsuyuki,England,Senior Staff
20335,Christ,Stavenow,Staff
20339,Masami,Jumpertz,Senior Engineer
20341,Margo,Pfau,Engineer
20368,Denis,Samarati,Senior Staff
20382,Alois,Marrakchi,Senior Engineer
20392,Terresa,Sidje,Senior Engineer
20401,Gennadi,Schoegge,Staff
20402,Szabolcs,Shrader,Senior Engineer
20407,Pranas,Genther,Senior Engineer
20417,Tzvetan,Pell,Engineer
20435,Oguz,Homond,Senior Staff
20441,Goh,Sudbeck,Senior Engineer
20444,Alair,Henseler,Staff
20450,Abdelwaheb,Binkley,Senior Engineer
20478,Oksana,Kruskal,Senior Staff
20490,Soenke,Douceur,Senior Staff
20498,Suvo,Gini,Senior Engineer
20528,Dines,Bednarek,Senior Staff
20530,Nevio,Katiyar,Senior Engineer
20534,Rosita,Kalloufi,Senior Staff
20535,Arne,Nishimukai,Senior Engineer
20550,Koichi,Kabayashi,Technique Leader
20556,Paris,Keohane,Senior Engineer
20558,Toong,Panangaden,Senior Staff
20573,Wanqing,Leivant,Senior Staff
20602,Martins,Dratva,Engineer
20621,Arumugam,Navazio,Senior Staff
20636,Hsiangchu,Collavizza,Senior Staff
20657,Kazuhiko,Kossowski,Staff
20666,Shushma,Linares,Senior Engineer
20674,Maria,Avouris,Senior Staff
20684,Randy,Lanphier,Staff
20686,Masasuke,Dahlbom,Senior Engineer
20689,Yishay,Schoegge,Senior Engineer
20716,Nikolaos,Basart,Staff
20721,Tru,Iisaku,Staff
20725,Yuichiro,Taubman,Senior Engineer
20743,Van,Boudaillier,Senior Engineer
20751,Nitsan,Zyda,Senior Staff
20765,Steve,Viele,Senior Staff
20766,Chenyi,Conry,Senior Engineer
20794,Shaz,Rathonyi,Senior Engineer
20805,Sudharsan,Yoshimura,Engineer
20813,Srinidhi,Sinicrope,Senior Staff
20820,Otilia,DeMori,Senior Engineer
20828,Brewster,Sewelson,Senior Staff
20841,Shao,Conia,Senior Engineer
20868,Dulce,Syrzycki,Senior Engineer
20883,Dipankar,Kleiser,Staff
20903,Yagil,Kemmerer,Senior Engineer
20914,Udi,Brizzi,Senior Engineer
20930,Shim,Menhardt,Senior Engineer
21044,Mack,Rajala,Senior Engineer
21084,Srinidhi,Belinskaya,Senior Engineer
21112,Kazuhiko,Suermann,Engineer
21131,Zvonko,Matzen,Senior Engineer
21192,Sajjad,Krohm,Senior Engineer
21215,Baoqiu,Sessa,Engineer
21275,Waiman,Suppi,Senior Staff
21337,Yefim,Francisci,Engineer
21338,Hitofumi,Besselaar,Engineer
21389,Bouchung,Frezza,Senior Staff
21402,Guadalupe,Gecsei,Senior Engineer
21420,Xiaopeng,Rothe,Senior Engineer
21422,Goo,Rattan,Technique Leader
21457,Jeong,Ressouche,Senior Engineer
21470,Kousuke,Botman,Senior Staff
21472,Yuichiro,Halloran,Engineer
21479,Jeane,Kuszyk,Senior Engineer
21491,Goo,Erva,Engineer
21512,Pohua,Gornas,Engineer
21518,Minghong,Slaats,Senior Staff
21528,Kristin,Adachi,Senior Staff
21552,Khoa,Masaki,Staff
21580,Debatosh,Morton,Engineer
21607,Jeane,Pleszkun,Senior Engineer
21615,Shirish,Morrey,Technique Leader
21636,Munir,Erde,Senior Staff
21642,Shaz,Erman,Senior Engineer
21669,Morrie,Servieres,Senior Staff
21674,Kannan,Naumovich,Technique Leader
21675,Vishu,Genin,Engineer
21704,Xiaobin,Chorvat,Engineer
21713,Guther,Boreale,Senior Staff
21728,Terresa,Dalton,Engineer
21730,Shaowen,Laventhal,Engineer
21732,Goa,Hanabata,Senior Engineer
21741,Muneo,Raoux,Senior Engineer
21758,Susumu,Picht,Senior Staff
21832,Suzette,Vecchio,Senior Staff
21858,Macha,Dichev,Engineer
21869,Eberhardt,Krone,Senior Staff
21886,Ekawit,DiGiano,Senior Engineer
21890,Kamakshi,Uhrik,Senior Engineer
21893,Erez,Belinskaya,Staff
21894,Marke,Yemenis,Senior Staff
21906,Kirk,Uhrik,Senior Engineer
21934,Hercules,Kroft,Senior Staff
22024,Weidon,Flexer,Senior Engineer
22063,Van,Kusalik,Assistant Engineer
22072,Kasturi,Pettit,Senior Engineer
22081,Constantine,Baar,Senior Engineer
22097,Arunas,Dulin,Senior Engineer
22106,Uriel,Halevi,Engineer
22108,Nevio,Zweizig,Senior Engineer
22111,Rasiah,Felcyn,Senior Staff
